source,target,best_score,mean_score,weight
2beg,2mpz,0.5446322899033685,0.3729990823854979,0.05446322899033686
2mpz,2beg,0.5446322899033685,0.3729990823854979,0.05446322899033686
2beg,6ti7,1.4558504309189302,0.6654082269937031,0.14558504309189302
6ti7,2beg,1.4558504309189302,0.6654082269937031,0.14558504309189302
2beg,7q4b,0.0060190335517533,0.00315106163638105,0.00060190335517533
7q4b,2beg,0.0060190335517533,0.00315106163638105,0.00060190335517533
2beg,8kf4,0.4376937639568845,0.3100320906228953,0.043769376395688446
8kf4,2beg,0.4376937639568845,0.3100320906228953,0.043769376395688446
2lmn,2lmo,6.800394534164616,4.270397052445882,0.6800394534164617
2lmo,2lmn,6.800394534164616,4.270397052445882,0.6800394534164617
2lmn,2lmp,1.8613036050056733,1.132973244637814,0.18613036050056733
2lmp,2lmn,1.8613036050056733,1.132973244637814,0.18613036050056733
2lmn,2lmq,4.580419056700022,2.087635529716407,0.45804190567000214
2lmq,2lmn,4.580419056700022,2.087635529716407,0.45804190567000214
2lmn,6ti5,0.0168333071718461,-0.6759173148214134,0.00168333071718461
6ti5,2lmn,0.0168333071718461,-0.6759173148214134,0.00168333071718461
2lmn,6ti6,0.4306962746147778,0.4306962746147778,0.04306962746147778
6ti6,2lmn,0.4306962746147778,0.4306962746147778,0.04306962746147778
2lmo,2lmp,3.034866799304797,2.091831065900981,0.30348667993047973
2lmp,2lmo,3.034866799304797,2.091831065900981,0.30348667993047973
2lmo,2lmq,8.522353219174612,7.3535390269636,0.8522353219174612
2lmq,2lmo,8.522353219174612,7.3535390269636,0.8522353219174612
2lmo,6ti5,3.5903035165456494,3.5903035165456494,0.3590303516545649
6ti5,2lmo,3.5903035165456494,3.5903035165456494,0.3590303516545649
2lmo,6ti6,2.0075082806526403,2.0075082806526403,0.20075082806526404
6ti6,2lmo,2.0075082806526403,2.0075082806526403,0.20075082806526404
2lmo,6ti7,3.298666157519618,3.298666157519618,0.3298666157519618
6ti7,2lmo,3.298666157519618,3.298666157519618,0.3298666157519618
2lmo,8bg0,0.669846517190121,-0.7038943305540376,0.0669846517190121
8bg0,2lmo,0.669846517190121,-0.7038943305540376,0.0669846517190121
2lmo,8kf5,0.2493470295808197,0.2493470295808197,0.02493470295808197
8kf5,2lmo,0.2493470295808197,0.2493470295808197,0.02493470295808197
2lmo,8ot3,0.4894981608170218,0.4894981608170218,0.04894981608170218
8ot3,2lmo,0.4894981608170218,0.4894981608170218,0.04894981608170218
2lmo,8owj,3.2380637353173767,3.2380637353173767,0.3238063735317377
8owj,2lmo,3.2380637353173767,3.2380637353173767,0.3238063735317377
2lmo,8sej,0.2773804365670285,-0.2742736112896625,0.02773804365670285
8sej,2lmo,0.2773804365670285,-0.2742736112896625,0.02773804365670285
2lmo,8sel,0.6442119045642147,-1.1888550207937034,0.06442119045642147
8sel,2lmo,0.6442119045642147,-1.1888550207937034,0.06442119045642147
2lmp,2lmo,3.691517191728584,3.691517191728584,0.3691517191728584
2lmo,2lmp,3.691517191728584,3.691517191728584,0.3691517191728584
2lmp,2lmq,6.863546907856799,5.036611080557351,0.6863546907856799
2lmq,2lmp,6.863546907856799,5.036611080557351,0.6863546907856799
2lmp,8bg0,0.0092195862560803,-1.5263832928400192,0.00092195862560803
8bg0,2lmp,0.0092195862560803,-1.5263832928400192,0.00092195862560803
2lmp,8kf1,0.2413304589015193,0.2413304589015193,0.02413304589015193
8kf1,2lmp,0.2413304589015193,0.2413304589015193,0.02413304589015193
2lmp,8kf5,0.1767676209213844,0.1767676209213844,0.01767676209213844
8kf5,2lmp,0.1767676209213844,0.1767676209213844,0.01767676209213844
2lmq,2lmo,7.248203098888819,7.248203098888819,0.7248203098888819
2lmo,2lmq,7.248203098888819,7.248203098888819,0.7248203098888819
2lmq,2lmp,4.456107999340483,4.456107999340483,0.4456107999340483
2lmp,2lmq,4.456107999340483,4.456107999340483,0.4456107999340483
2lmq,6ti5,4.650983219598447,4.650983219598447,0.4650983219598447
6ti5,2lmq,4.650983219598447,4.650983219598447,0.4650983219598447
2lmq,6ti6,3.113571569268783,3.113571569268783,0.3113571569268783
6ti6,2lmq,3.113571569268783,3.113571569268783,0.3113571569268783
2lmq,6ti7,4.450528082461179,4.450528082461179,0.44505280824611787
6ti7,2lmq,4.450528082461179,4.450528082461179,0.44505280824611787
2lmq,6w0o,1.0060140655088194,1.0060140655088194,0.10060140655088194
6w0o,2lmq,1.0060140655088194,1.0060140655088194,0.10060140655088194
2lmq,7q4b,1.4643089557785134,1.4643089557785134,0.14643089557785133
7q4b,2lmq,1.4643089557785134,1.4643089557785134,0.14643089557785133
2lmq,8bfz,0.911716555387461,0.911716555387461,0.0911716555387461
8bfz,2lmq,0.911716555387461,0.911716555387461,0.0911716555387461
2lmq,8bg0,0.8596080484272991,0.6752212532820473,0.08596080484272992
8bg0,2lmq,0.8596080484272991,0.6752212532820473,0.08596080484272992
2lmq,8kew,0.8256823233149675,0.8256823233149675,0.08256823233149675
8kew,2lmq,0.8256823233149675,0.8256823233149675,0.08256823233149675
2lmq,8kf1,0.6113227069859833,0.6113227069859833,0.061132270698598334
8kf1,2lmq,0.6113227069859833,0.6113227069859833,0.061132270698598334
